"range_list","name","year1","year2","ssps","long_min","long_max","lat_min","lat_max","pixels"
"nereocystis_luetkeana_2050_2060_ssp126.tif","nereocystis","2050","2060","ssp126",-124.474999978509,-119.324999240642,34.1750005437972,46.2250015218207,50508
"nereocystis_luetkeana_2050_2060_ssp245.tif","nereocystis","2050","2060","ssp245",-124.474999978509,-119.374999247806,34.2250005478554,46.2250015218207,50472
"nereocystis_luetkeana_2050_2060_ssp585.tif","nereocystis","2050","2060","ssp585",-124.474999978509,-119.42499925497,34.2250005478554,46.2250015218207,50418
"nereocystis_luetkeana_2060_2070_ssp126.tif","nereocystis","2060","2070","ssp126",-124.474999978509,-119.42499925497,34.2250005478554,46.2250015218207,50481
"nereocystis_luetkeana_2060_2070_ssp245.tif","nereocystis","2060","2070","ssp245",-124.474999978509,-119.42499925497,34.2250005478554,46.2250015218207,50294
"nereocystis_luetkeana_2060_2070_ssp585.tif","nereocystis","2060","2070","ssp585",-124.474999978509,-119.42499925497,34.2250005478554,46.2250015218207,50362
"nereocystis_luetkeana_2070_2080_ssp126.tif","nereocystis","2070","2080","ssp126",-124.474999978509,-119.324999240642,34.1750005437972,46.2250015218207,50570
"nereocystis_luetkeana_2070_2080_ssp245.tif","nereocystis","2070","2080","ssp245",-124.474999978509,-119.42499925497,34.2250005478554,46.2250015218207,50363
"nereocystis_luetkeana_2070_2080_ssp585.tif","nereocystis","2070","2080","ssp585",-124.474999978509,-119.42499925497,34.2250005478554,46.2250015218207,50188
"nereocystis_luetkeana_2080_2090_ssp126.tif","nereocystis","2080","2090","ssp126",-124.474999978509,-119.324999240642,34.1750005437972,46.2250015218207,50488
"nereocystis_luetkeana_2080_2090_ssp245.tif","nereocystis","2080","2090","ssp245",-124.474999978509,-119.42499925497,34.2250005478554,46.2250015218207,50275
"nereocystis_luetkeana_2080_2090_ssp585.tif","nereocystis","2080","2090","ssp585",-124.474999978509,-119.42499925497,34.2250005478554,46.2250015218207,50060
"nereocystis_luetkeana_2090_2100_ssp126.tif","nereocystis","2090","2100","ssp126",-124.474999978509,-119.324999240642,34.2250005478554,46.2250015218207,50471
"nereocystis_luetkeana_2090_2100_ssp245.tif","nereocystis","2090","2100","ssp245",-124.474999978509,-119.42499925497,34.2250005478554,46.2250015218207,50281
"nereocystis_luetkeana_2090_2100_ssp585.tif","nereocystis","2090","2100","ssp585",-124.474999978509,-119.42499925497,34.2750005519136,46.2250015218207,49991
